id;start_date;end_date;language
1;2020-11-04T15:02:39;2020-11-04T12:52:54;SPANISH
2;2020-11-03T19:52:50;2020-11-04T14:57:15;SPANISH
3;2020-11-04T10:48:09;2020-11-03T21:22:18;FRENCH
4;2020-11-04T02:05:40;2020-11-04T13:37:06;FRENCH
5;2020-11-04T11:35:58;2020-11-04T16:22:57;FRENCH
6;2020-11-04T05:28:19;2020-11-04T17:36:33;FRENCH
7;2020-11-04T07:13:39;2020-11-04T01:04:30;FRENCH
8;2020-11-04T06:09:52;2020-11-04T16:26:00;SPANISH
9;2020-11-04T04:51:01;2020-11-04T01:32:24;SPANISH
10;2020-11-04T13:03:05;2020-11-03T23:37:35;SPANISH
